#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
gabfed.social,suspend,false,false,"",false
lets.saynoto.lgbt,suspend,false,false,"",true
gab.polaris-1.work,suspend,false,false,"",false
gab.protohype.net,suspend,false,false,"",false
lolicon.rocks,suspend,false,false,"",false
lolisontop.com,suspend,false,false,"",false
sneed.social,suspend,false,false,"",false
yggdrasil.social,suspend,false,false,"",false
fans.sonichu.com,suspend,false,false,"",false
xn--p1abe3d.xn--80asehdb,suspend,false,false,"",false
truthsocial.co.in,suspend,false,false,"",false
10minutepleroma.com,suspend,false,false,"",false
rage.lol,suspend,false,false,"",false
social.byoblu.com,suspend,false,false,"",false
dogeposting.social,suspend,false,false,"",false
fr13nd5.com,suspend,false,false,"",false
mstdn.foxfam.club,suspend,false,false,"",false
newsbots.eu,suspend,false,false,"",false
pleroma.kiwifarms.net,suspend,false,false,"",false
zwezo.o-k-i.net,suspend,true,false,"",false
news.twtr.plus,suspend,false,false,"",false
0twitter.com,suspend,true,false,"",false
beta.birdsite.live,suspend,true,false,"",false
birdbots.leptonics.com,suspend,true,false,"",false
birdbridge.autonomy.earth,suspend,true,false,"",false
birdsite.link,suspend,true,false,"",false
birdsite.oliviaappleton.com,suspend,true,false,"",false
birdsite.slashdev.space,suspend,true,false,"",false
birdsite.tcjc.uk,suspend,true,false,"",false
twitter.activitypub.actor,suspend,true,false,"",false
bitcoinhackers.org,silence,false,false,"",false
birdsite.mastodon.me.uk,suspend,true,false,"",false
birdsite.toot.si,suspend,true,false,"",false
twtr.vrij.social,suspend,true,false,"",false
twtr.wappie.land,suspend,true,false,"",false
raplst.town,suspend,false,false,"",true
urchan.org,suspend,false,false,"",false
pleroma.nobodyhasthe.biz,suspend,false,false,"",false
beefyboys.club,suspend,false,false,"",false
fedsearch.io,suspend,false,false,"",false
freak.university,suspend,false,false,"",false
gabtest.gameliberty.club,suspend,false,false,"",false
getgle.org,suspend,false,false,"",false
lolison.top,suspend,false,false,"",false
milker.cafe,suspend,false,false,"",false
newjack.city,suspend,false,false,"",false
ost.social,suspend,false,false,"",false
rapemeat.solutions,suspend,false,false,"",true
seal.cafe,suspend,false,false,"",false
varishangout.net,suspend,false,false,"",false
wolfgirl.bar,suspend,false,false,"",false
zztails.wtf,suspend,false,false,"",false
zztails.online,suspend,false,false,"",false
zztails.gay,suspend,false,false,"",false
durst.world,suspend,false,false,"",false
degenerates.fail,suspend,false,false,"",false
freespeech.firedragonstudios.com,suspend,false,false,"",false
freespeech.group,suspend,false,false,"",false
freespeech.icu,suspend,false,false,"",false
pieville.net,suspend,false,false,"",false
video.nobodyhasthe.biz,suspend,false,false,"",false
valkyrie.world,suspend,false,false,"",false
thechad.zone,suspend,false,false,"",false
unsafe.space,suspend,false,false,"",false
toot.love,suspend,false,false,"",false
genderheretics.xyz,suspend,false,false,"",false
loli.estate,suspend,false,false,"",false
shota.house,suspend,false,false,"",false
spinster.dev,suspend,false,false,"",false
spinster.xyz,suspend,false,false,"",false
berserker.town,suspend,false,false,"",false
arachnid.town,suspend,false,false,"",false
akko.saturno.black,suspend,false,false,"",false
akko.disqordia.space,suspend,false,false,"",false
archivefedifor.fun,suspend,false,false,"",false
a.sc,suspend,false,false,"",false
bajax.us,suspend,false,false,"",false
bikeshed.party,suspend,false,false,"",false
d-fens.systems,suspend,false,false,"",false
dickkickextremist.xyz,suspend,false,false,"",true
eveningzoo.club,suspend,false,false,"",false
fedicy.allowed.org,suspend,false,false,"",false
fedi.intkos.link,suspend,false,false,"",false
youjo.love,suspend,false,false,"",false
djsumdog.com,suspend,false,false,"",false
dlf.social,suspend,false,false,"",false
eientei.org,suspend,false,false,"",false
7td.org,suspend,false,false,"",false
eatthebugs.social,suspend,false,false,"",false
exited.eu,suspend,false,false,"",false
fedi.pawlicker.com,suspend,false,false,"",false
gitmo.life,suspend,false,false,"",false
shitposting.army,suspend,false,false,"",false
truthsocialpro.org,suspend,false,false,"",false
terrible.place,suspend,false,false,"",false
hentai.baby,suspend,false,false,"",false
pl.natehiggers.online,suspend,false,false,"",true
birb.elfenban.de,suspend,true,false,"",false
bird.evilcyberhacker.net,suspend,true,false,"",false
bird.istheguy.com,suspend,true,false,"",false
bird.r669.live,suspend,true,false,"",false
birdsite.b93.dece.space,suspend,true,false,"",false
birdsite.cloutier.co,suspend,true,false,"",false
birdsite.darkesttimeline.social,suspend,true,false,"",false
birdsite.frog.fashion,suspend,true,false,"",false
birdsite.gabeappleton.me,suspend,true,false,"",false
birdsite.gred.al,suspend,true,false,"",false
birdsite.james.moody.name,suspend,true,false,"",false
birdsite.jemverse.xyz,suspend,true,false,"",false
birdsitelive.loca.lt,suspend,true,false,"",false
birdsitelive.moistgarbage.info,suspend,true,false,"",false
birdsitelive.treffler.cloud,suspend,true,false,"",false
birdsite.monster,suspend,true,false,"",false
birdsite.nytpu.com,suspend,true,false,"",false
birdsite.skye.cx,suspend,true,false,"",false
birdsite.spectreos.de,suspend,true,false,"",false
birdsite.thorlaksson.com,suspend,true,false,"",false
birdsite.vrparty.social,suspend,true,false,"",false
birdsite.wilde.cloud,suspend,true,false,"",false
twitter.1d4.us,suspend,true,false,"",false
pooper.social,suspend,false,false,"",false
social.lovingexpressions.net,suspend,false,false,"",false
cyberstorm.one,suspend,false,false,"",false
contrapointsfan.club,suspend,false,false,"",true
social.076.ne.jp,suspend,false,false,"",false
comfyboy.club,suspend,false,false,"",false
masochi.st,suspend,false,false,"",false
mastodonhub.com,suspend,false,false,"",false
ns.auction,suspend,false,false,"",false
pleroma.fun,suspend,false,false,"",false
pisskey.io,suspend,false,false,"",false
poster.place,suspend,false,false,"",false
shitpisscum.mooo.com,suspend,false,false,"",true
trayvonmart.in,suspend,false,false,"",true
wagesofsinisdeath.com,suspend,false,false,"",false
waifuappreciation.club,suspend,false,false,"",false
waifu.social,suspend,false,false,"",false
weedis.life,suspend,false,false,"",false
glowers.club,suspend,false,false,"",false
honkwerx.tech,suspend,false,false,"",false
hunk.city,suspend,false,false,"",false
iddqd.social,suspend,false,false,"",false
jaeger.website,suspend,false,false,"",false
frennet.xyz,suspend,false,false,"",false
dark.doompill.com,suspend,false,false,"",false
daffodil-11.org,suspend,false,false,"",false
cum.desupost.soy,suspend,false,false,"",false
clubcyberia.co,suspend,false,false,"",false
amala.schwartzwelt.xyz,suspend,false,false,"",false
freezepeach.xyz,suspend,false,false,"",false
chungus.cc,suspend,false,false,"",false
crlf.ninja,suspend,false,false,"",false
cybercrusade.xyz,suspend,false,false,"",false
fluf.club,suspend,false,false,"",false
moa.st,suspend,false,false,"",false
ryona.agency,suspend,false,false,"",false
shortstackran.ch,suspend,false,false,"",false
sleepy.cafe,suspend,false,false,"",false
socialgoblins.club,suspend,false,false,"",false
tastingtraffic.net,suspend,false,false,"",false
wideboys.win,suspend,false,false,"",false
ystn.win,suspend,false,false,"",false
mastotest.gameliberty.club,suspend,false,false,"",false
skippers-bin.com,suspend,false,false,"",false
kisslolis.com,suspend,false,false,"",false
justicewarrior.social,suspend,false,false,"",false
lain.sh,suspend,false,false,"",false
neenster.org,suspend,false,false,"",false
nnia.space,suspend,false,false,"",false
pl.kys.moe,suspend,false,false,"",false
kys.moe,suspend,false,false,"",false
rawr-xd.club,suspend,false,false,"",false
the9thcircle.club,suspend,false,false,"",false
nsfw.finance,suspend,false,false,"",false
nsfw.lehtiin.eu,suspend,false,false,"",false
eeeeeeeee.eu,suspend,false,false,"",false
gameliberty.club,suspend,false,false,"",false
froth.zone,suspend,false,false,"",false
pl.starnix.network,suspend,false,false,"",false
paws.moe,suspend,false,false,"",false
moe.cachapa.xyz,suspend,false,false,"",false
novoa.nagoya,suspend,false,false,"",false
pleroma.narrativerry.xyz,suspend,false,false,"",false
miss.mouse.services,suspend,false,false,"",false
rdrama.cc,suspend,false,false,"",false
pl.tkammer.de,suspend,false,false,"",false
pl.smuglo.li,suspend,false,false,"",false
pl.lifeweb.cc,suspend,false,false,"",false
pl.765racing.com,suspend,false,false,"",false
pleroma.comfy.moe,suspend,false,false,"",false
pleroma.kitsunemimi.club,suspend,false,false,"",false
kiwifarms.net,suspend,false,false,"",false
pleroma.rareome.ga,suspend,false,false,"",false
soc.mahodou.moe,suspend,false,false,"",false
social.culturewar.us,suspend,false,false,"",false
social.foxfam.club,suspend,false,false,"",false
social.quodverum.com,suspend,false,false,"",false
social.snopyta.org,suspend,false,false,"",false
social.sphere.com.ai,suspend,false,false,"",false
societal.co,suspend,false,false,"",false
pleroma.viridianpatriots.com,suspend,false,false,"",false
cdrom.tokyo,suspend,false,false,"",false
girlcock.club,suspend,false,false,"",true
cock.social,suspend,false,false,"",false
pl.comfysnug.space,suspend,false,false,"",false
pl.nudie.social,suspend,false,false,"",false
waifuism.life,suspend,false,false,"",false
pl.gamers.exposed,suspend,false,false,"",false
antivaxxer.icu,suspend,false,false,"",false
gasthe.lgbt,suspend,false,false,"",true
horny.enby.space,suspend,false,false,"",false
lgbtfree.zone,suspend,false,false,"",false
lolis.world,suspend,false,false,"",false
social.handholding.io,suspend,false,false,"",false
social.wideboys.org,suspend,false,false,"",false
social.illegalpornography.com,suspend,false,false,"",true
mastodon.loliandstuff.moe,suspend,false,false,"",false
niggers.auction,suspend,false,false,"",true
pl.moggy.xyz,suspend,false,false,"",false
pl.nulled.red,suspend,false,false,"",false
pl.skyn3t.in,suspend,false,false,"",false
pl.slash.cl,suspend,false,false,"",false
pl.smoothbrain.top,suspend,false,false,"",false
pl.thj.no,suspend,false,false,"",false
pl.wowana.me,suspend,false,false,"",false
plandemic.icu,suspend,false,false,"",false
pler.spearman.xyz,suspend,false,false,"",false
pleroma.1d4.us,suspend,false,false,"",false
pleroma.astralchan.xyz,suspend,false,false,"",false
pleroma.bubbletea.dev,suspend,false,false,"",false
pleroma.cucked.me,suspend,false,false,"",false
pleroma.dbuild.xyz,suspend,false,false,"",false
pleroma.inferencium.net,suspend,false,false,"",false
pleroma.miniwa.moe,suspend,false,false,"",false
pleroma.mouse.services,suspend,false,false,"",false
pleroma.quaylessed.icu,suspend,false,false,"",false
pleroma.tuxcrafting.cf,suspend,false,false,"",false
pleroma.yorha.club,suspend,false,false,"",false
plr.inferencium.net,suspend,false,false,"",false
projectveritas.icu,suspend,false,false,"",false
rapemeat.shop,suspend,false,false,"",true
scamdemic.party,suspend,false,false,"",false
scrapist.xyz,suspend,false,false,"",false
shpposter.club,suspend,false,false,"",false
lolison.network,suspend,false,false,"",false
womyns.land,suspend,false,false,"",false
cliterati.club,suspend,false,false,"",false
bungle.online,suspend,false,false,"",false
childpawn.shop,suspend,false,false,"",true
crypto-group-buy.com,suspend,false,false,"",false
csdisaster.club,suspend,false,false,"",false
ni.hil.ist,suspend,false,false,"",false
freethinkers.lgbt,suspend,false,false,"",false
shitpost.racing,suspend,false,false,"",false
fedi.ruinouspowe.rs,suspend,false,false,"",false
social.hendrixgames.com,suspend,false,false,"",false
fedi.tyil.nl,suspend,false,false,"",false
pkteerium.xyz,suspend,false,false,"",false
impeccable.social,suspend,false,false,"",false
sneed.vip,suspend,false,false,"",false
twtr.plus,suspend,false,false,"",false
nightshift.social,suspend,false,false,"",false
asimon.org,suspend,false,false,"",false
kurosawa.moe,suspend,false,false,"",false
rebased.io,suspend,false,false,"",false
smittenkittens.xyz,suspend,false,false,"",false
refusal.biz,suspend,false,false,"",false
social.capystan.net,suspend,false,false,"",false
pl.serialmay.link,suspend,false,false,"",false
obo.sh,suspend,false,false,"",false
mk.starnix.network,suspend,false,false,"",false
hidamari.apartments,suspend,false,false,"",false
alive.bar,suspend,false,false,"",false
normie.cafe,suspend,false,false,"",false
x0f.org,suspend,false,false,"",false
rojogato.com,suspend,false,false,"",false
freefedifollowers.ga,suspend,false,false,"",false
sealion.club,suspend,false,false,"",false
gearlandia.haus,suspend,false,false,"",false
husk.site,suspend,false,false,"",false
mugicha.club,suspend,false,false,"",false
frennet.link,suspend,false,false,"",false
rainbowdash.net,suspend,false,false,"",false
coom.club,suspend,false,false,"",false
weeaboo.space,suspend,false,false,"",false
blob.cat,suspend,false,false,"",false
pleroma.soykaf.com,suspend,false,false,"",false
xxxtumblr.org,suspend,false,false,"",false
definitely-not-archivefedifor.fun,suspend,false,false,"",false
pleroma.skyshanty.xyz,suspend,false,false,"",false
dobbs.town,suspend,false,false,"",false
freewahaextremist.com,suspend,false,false,"",false
letsalllovela.in,suspend,false,false,"",false
gs.smuglo.li,suspend,false,false,"",false
privex.social,suspend,false,false,"",false
pleroma.hatthieves.es,suspend,false,false,"",false
bodybuilding.im,suspend,false,false,"",false
p.enes.lv,suspend,false,false,"",false
plma.plus.st,suspend,false,false,"",false
collapsitarian.io,suspend,false,false,"",false
pl.ebin.zone,suspend,false,false,"",false
pl.pube.tk,suspend,false,false,"",false
social.xenofem.me,suspend,false,false,"",false
pl.anon-kenkai.com,suspend,false,false,"",false
lizards.live,suspend,false,false,"",false
stereophonic.space,suspend,false,false,"",false
tuusin.misono-ya.info,suspend,false,false,"",false
birdsitelive.ffvo.dev,suspend,true,false,"",false
birdsitelive.peanutlasko.com,suspend,true,false,"",false
atlas.fedi.live,suspend,false,false,"",false
aethy.com,suspend,false,false,"",false
club.darknight-coffee.eu,suspend,false,false,"",false
merovingian.club,suspend,false,false,"",false
botsin.space,noop,true,false,"",false
bbs.kawa-kun.com,suspend,false,false,"",false
daishouri.moe,suspend,false,false,"",false
f.haeder.net,suspend,false,false,"",false
meta-tube.de,suspend,false,false,"",false
sinblr.com,suspend,false,false,"",false
social.urspringer.de,suspend,false,false,"",false
social.ancreport.com,suspend,false,false,"",false
tube.querdenken-711.de,suspend,false,false,"",false
wiki-tube.de,suspend,false,false,"",false
bird.nzbr.de,suspend,true,false,"",false
birdsite.blazelights.dev,suspend,true,false,"",false
bridge.birb.space,suspend,true,false,"",false
gegenstimme.tv,suspend,false,false,"",false
kenfm.quadplay.tv,suspend,false,false,"",false
libre.tube,suspend,false,false,"",false
mastodon.popps.org,suspend,false,false,"",false
play.xmr.101010.pl,suspend,false,false,"",false
pl.info.natehiggers.online,suspend,false,false,"",true
social.teci.world,suspend,false,false,"",false
socnet.supes.com,suspend,false,false,"",false
tube.kenfm.de,suspend,false,false,"",false
101010.pl,suspend,false,false,"",false
budsbots.com,suspend,false,false,"",false
megamast.io,suspend,false,false,"",false
misskey.bubbletea.dev,suspend,false,false,"",false
akko.cuddlegirls.cafe,suspend,false,false,"",false
4chan.icu,suspend,false,false,"",false
banepo.st,suspend,false,false,"",false
cock.li,suspend,false,false,"",false
fedisearch.skorpil.cz,suspend,false,false,"",false
fediversesearch.com,suspend,false,false,"",false
loli.pizza,suspend,false,false,"",false
mk.phreedom.club,suspend,false,false,"",false
mstdn.starnix.network,suspend,false,false,"",false
musksocial.com,suspend,false,false,"",false
pl.shiptoaster.xyz,suspend,false,false,"",false
pleroma.crowesnest.io,suspend,false,false,"",false
pleroma.dark-alexandr.net,suspend,false,false,"",false
pleroma.freespeech.club,suspend,false,false,"",false
shitpost.poridge.club,suspend,false,false,"",false
smugloli.net,suspend,false,false,"",false
social.tchncs.de,suspend,false,false,"",false
wideboys.org,suspend,false,false,"",false
waha.desupost.soy,suspend,false,false,"",false
wurm.host,suspend,false,false,"",false
zetamu.club,suspend,false,false,"",false
kiwifarms.ru,suspend,false,false,"",false
rakket.app,suspend,false,false,"",false
think.freespeech.institute,suspend,false,false,"",false
bofh.social,suspend,false,false,"",false
freesoftwareextremist.com,suspend,false,false,"",false
freespeech.host,suspend,false,false,"",false
howlr.me,suspend,false,false,"",false
vibewave.space,suspend,false,false,"",false
crimew.gay,suspend,false,false,"",false
girldick.gay,suspend,false,false,"",false
abdl.link,suspend,false,false,"",false
d2l.masto.host,suspend,false,false,"",false
desuposter.club,suspend,false,false,"",false
ecosteader.com,suspend,false,false,"",false
embracing.space,suspend,false,false,"",false
fedi.nekojanai.xyz,suspend,false,false,"",false
fedi.z0ne.moe,suspend,false,false,"",false
friendica.eskimo.com,suspend,false,false,"",false
goyslop.cafe,suspend,false,false,"",false
io.mwl.io,suspend,false,false,"",false
gleasonator.dev,suspend,false,false,"",false
anitwitter.moe,suspend,false,false,"",false
explosion.party,suspend,false,false,"",false
gab.sleeck.eu,suspend,false,false,"",false
guillotines.masto.host,suspend,false,false,"",false
honey.church,suspend,false,false,"",false
ika.moe,suspend,false,false,"",false
mastodon.starrevolution.org,suspend,false,false,"",false
myasstodon.xyz,suspend,false,false,"",false
npf.mlpol.net,suspend,false,false,"",false
take.iteasy.club,suspend,false,false,"",false
the.hedgehoghunter.club,suspend,false,false,"",false
yorishiro.space,suspend,false,false,"",false
witches.live,suspend,false,false,"",false
orachat.masto.host,suspend,false,false,"",false
pleroma.flussence.eu,suspend,false,false,"",false
pleroma.us,suspend,false,false,"",false
porntoot.com,suspend,false,false,"",false
psyopvict.im,suspend,false,false,"",false
thepostearthdestination.com,suspend,false,false,"",false
uwu.social,suspend,false,false,"",false
vulpine.club,suspend,false,false,"",false
fedichive.tk,suspend,false,false,"",false
solagg.com,suspend,false,false,"",false
carrot.army,suspend,false,false,"",false
skinnyver.se,suspend,false,false,"",false
wxw.moe,suspend,false,false,"",false
pl.kitsunemimi.club,suspend,false,false,"",false
bozgor.org,suspend,false,false,"",false
udongein.xyz,suspend,false,false,"",false
cyzed.com,suspend,false,false,"",false
marsey.club,suspend,false,false,"",false
beta.mstdn.cf,suspend,true,false,"",false
tweetbridge.kogasa.de,suspend,true,false,"",false
twitterbridge.jannis.rocks,suspend,true,false,"",false
uuuu.bigguys.club,suspend,false,false,"",false
federated.fun,suspend,false,false,"",false
ak.kyaruc.moe,suspend,false,false,"",false
pl.glownow.club,suspend,false,false,"",false
pl.kotobank.ch,suspend,false,false,"",false
z0ne.social,suspend,false,false,"",false
twitter.piriklub.eu,suspend,true,false,"",false
instinctd.com,suspend,false,false,"",false
mastodon.network,suspend,false,false,"",false
pleroma.nthomas20.net,suspend,false,false,"",false
activitypub-troll.cf,suspend,false,false,"",false
misskey-forkbomb.cf,suspend,false,false,"",false
expired.mentality.rip,suspend,false,false,"",false
veenus.art,suspend,false,false,"",false
quietplace.xyz,suspend,false,false,"",false
animesexual.community,suspend,false,false,"",false
micro.shitpost.blog,suspend,false,false,"",false
shitposting.fr,suspend,false,false,"",false
cum.camp,suspend,false,false,"",false
strelizia.net,suspend,false,false,"",false
librem.one,suspend,false,false,"",false
squeet.me,suspend,false,false,"",false
misskey.cf,suspend,false,false,"",false
puzzled.cc,suspend,false,false,"",false
outerheaven.club,suspend,false,false,"",false
fedi.criminallycute.fi,suspend,false,false,"",false
projectftm,suspend,false,false,"",false
bubbletea.dev,suspend,false,false,"",false
snowdin.town,suspend,false,false,"",false
kabuki.club,suspend,false,false,"",false
kompost.cz,suspend,false,false,"",false
miruku.cafe,suspend,false,false,"",false
koyu.space,suspend,false,false,"",false
cyberretards.xyz,suspend,false,false,"",false
pone.social,suspend,false,false,"",false
graz.social,suspend,false,false,"",false
shigusegubu.club,suspend,false,false,"",false
angrytoday.com,suspend,false,false,"",false
nsfw.cafe,suspend,false,false,"",false
carnivore.social,suspend,false,false,"",false
dirtyhobby.xyz,suspend,false,false,"",false
hellsite.site,suspend,false,false,"",false
anti-degeneracy.club,suspend,false,false,"",false
fedi.jmizzle.com,suspend,false,false,"",false
fedi.murky.club,suspend,false,false,"",false
freedomofpress.rocks,suspend,false,false,"",false
geofront.rocks,suspend,false,false,"",false
ghetti.monster,suspend,false,false,"",false
hallsofamenti.io,suspend,false,false,"",false
kcl.academy,suspend,false,false,"",false
lain.com,suspend,false,false,"",false
lainchan.gay,suspend,false,false,"",false
social.freetalklive.com,suspend,false,false,"",false
hermitmountain.top,suspend,false,false,"",false
queer.hacktivis.me,suspend,false,false,"",false
lbry.world,suspend,false,false,"",false
loveforlandlords.com,suspend,false,false,"",false
loves.reisen,suspend,false,false,"",false
niscii.xyz,suspend,false,false,"",false
rettiwtkcuf.social,suspend,false,false,"",false
springbo.cc,suspend,false,false,"",false
lukesmith.xyz,suspend,false,false,"",false
pmth.us,suspend,false,false,"",false
calobar.club,suspend,false,false,"",false
5dollah.click,suspend,false,false,"",false
pl.polaris-1.work,suspend,false,false,"",false
pl.zombiecats.run,suspend,false,false,"",false
vance.land,suspend,false,false,"",false
pleroma.wolfie.pw,suspend,false,false,"",false
animalliberation.social,suspend,false,false,"",false
aria.company,suspend,false,false,"",false
civiq.social,suspend,false,false,"",false
gabble.xyz,suspend,false,false,"",false
gendercritical.club,suspend,false,false,"",false
gendercritical.space,suspend,false,false,"",false
social.heldscal.la,suspend,false,false,"",false
wrongthink.net,suspend,false,false,"",false
onevery.ignorelist.com,suspend,false,false,"",false
fed.celp.de,noop,true,false,"",false
liveview.cf,suspend,false,false,"",false
traboone.com,suspend,false,false,"",false
pinnoto.org,suspend,false,false,"",false
soapbox.midwaytrades.com,suspend,false,false,"",false
librosphere.fr,suspend,false,false,"",false
ignorelist.com,suspend,false,false,"",false
globalfrens.com,suspend,false,false,"",false
randland.party,suspend,false,false,"",false
birdsite.blazelight.dev,suspend,true,false,"",false
bsl.sid500.com,suspend,true,false,"",false
hubzilla.eskimo.com,suspend,false,false,"",false
shrike.club,suspend,false,false,"",false
troll.cafe,suspend,false,false,"",false
post.ebin.club,suspend,false,false,"",false
xmrposter.club,suspend,false,false,"",false
nomoresha.me,suspend,false,false,"",false
bird.im-in.space,suspend,true,false,"",false
birdsite.lakedrops.com,suspend,true,false,"",false
birdsite.platypush.tech,suspend,true,false,"",false
handicapped.tk,suspend,false,false,"",false
ddns.net,suspend,false,false,"",false
synology.me,suspend,false,false,"",false
workers.dev,suspend,false,false,"",false
ngrok.io,suspend,false,false,"",false
repl.co,suspend,false,false,"",false
trycloudflare.com,suspend,false,false,"",false
duckdns.org,suspend,false,false,"",false
localhost.run,suspend,false,false,"",false
cryptodon.lol,silence,false,false,"",false
bitcoin.ninja,silence,false,false,"",false
cryptotalks.social,silence,false,false,"",false
cryptotooter.com,silence,false,false,"",false
cryptocartel.social,silence,false,false,"",false
bitcoinlizard.net,suspend,false,false,"",false
bestgore.fun,suspend,false,false,"",false
gorf.pub,suspend,false,false,"",false
hitchhiker.social,suspend,false,false,"",false
mastodong.lol,suspend,false,false,"",false
cockandballtortu.re,suspend,false,false,"",true
eskimo.com,suspend,false,false,"",false
fedi.live,suspend,false,false,"",false
kinky.business,suspend,false,false,"",false
twitter.1e400.net,suspend,false,false,"",false
thicc.horse,suspend,false,false,"",false
no-ip.org,suspend,false,false,"",false
